time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.06442678233e-07,3.56635833154e-07,10.001816829,0.000341359542803,0.000124221354805,0.0,-9.80195641728e-06,3.01424169989e-05,0.0605591008105,0.015154579019,0.00591936029995,0.0,424.1596468279736,424.6675629774434,423.3389127390486,424.6405951342026
0.12000000000000001,-5.02478258181e-06,1.40162992084e-05,10.0106821211,0.000780479611223,0.000109435786473,0.0,-0.000178293086564,0.000511072392931,0.234930099166,-0.0169353390443,-0.0169294698476,0.0,460.311442341977,458.50008192864635,461.6676366065407,459.12910764670016
0.18,-1.42525888337e-05,5.7753326934e-05,10.0262139634,0.000966941757762,6.28232160944,0.0,-3.55708061864e-05,0.000922916342188,0.282786912506,0.0270625967083,-0.0148343926219,0.0,420.78166353125016,420.9630363571319,417.40807642548225,421.2295810362695
0.23999999999999996,5.3526855355e-06,0.000139726929066,10.0465691511,0.00230390409607,6.28121763311,0.0,0.000791436658218,0.00196573566413,0.395685996586,0.0104143287659,-0.0267033710733,0.0,442.0607979214919,441.0818852873812,441.2667277599702,439.8905212779112
0.3,0.000104940037479,0.000313568881701,10.0756491629,0.00315535349588,6.27957971111,0.0,0.00271189181874,0.00391365634278,0.573574131695,0.0208381441256,-0.0285165757561,0.0,461.41897848780803,461.27568523603946,460.5282629854366,461.35178414900054
0.36000000000000004,0.000359880990658,0.000629824346568,10.1160023861,0.0053163829453,6.27814236277,0.0,0.00596758721267,0.00683853054219,0.771418855578,0.0560426422308,-0.0161166003473,0.0,466.6360546930804,467.6028199229819,466.08128580045843,468.82466796394544
0.4200000000000001,0.000839888687192,0.0011788053494,10.1679638291,0.00876881589339,6.27700264057,0.0,0.0101524292681,0.0118526850071,0.960486072762,0.0603784936518,-0.0254836075132,0.0,465.4812464561901,464.74779694841897,464.5901278481081,464.93203759588437
0.48000000000000015,0.00158240069849,0.00208483813186,10.2285716277,0.012469043977,6.27555704674,0.0,0.0147488032691,0.0187207317663,1.05968196453,0.0641356351894,-0.021448495026,0.0,436.8352645908491,437.17148649012313,438.0499519779545,438.3650172587173
0.5400000000000001,0.00264384104847,0.00350456053312,10.2969516407,0.0166823758487,6.2744290786,0.0,0.0207646389007,0.0290504574198,1.21948731435,0.0802308763054,-0.013968093516,0.0,456.3800604536096,456.9767168201366,455.96275749091797,457.25019074716863
0.6000000000000002,0.00410022192981,0.00566489473989,10.3761629139,0.0220378745185,6.27410637033,0.0,0.0278426084875,0.0435564289329,1.42064831202,0.102987301035,0.00783855050212,0.0,467.999261230181,469.69340730710604,469.0987140284841,470.86827594805624
0.6600000000000003,0.00596611849641,0.00878268322364,10.465490076,0.0284151563129,6.2748083516,0.0,0.0342883758146,0.0610403870717,1.55673182074,0.112180041476,0.0184785001379,0.0,449.9710273465889,450.83134998956314,449.7490147210643,450.50257635972395
0.7200000000000003,0.00819138777289,0.0130565081615,10.5618459471,0.0350039167194,6.2763503559,0.0,0.0397481999662,0.0820943335241,1.65497253844,0.104604126524,0.0372158639255,0.0,437.6092410798747,439.16617961602543,439.613288819066,438.9959281751102
0.7800000000000004,0.010713242941,0.0187572229267,10.66489271,0.0417383801869,6.27903443599,0.0,0.0440490926333,0.108613363952,1.77970786022,0.124277716864,0.0566281340896,0.0,446.06776620075425,447.65116993191447,447.36004974056175,448.9698582499775
0.8400000000000004,0.0134354227583,0.0262603190197,10.7768492877,0.0500012220294,2.53208993186e-05,0.0,0.0462530470544,0.142372656172,1.95185911323,0.156115886707,0.0875664788104,0.0,461.8081661477534,464.2451663650726,460.6807918394301,463.20733944473454
0.9000000000000005,0.0161921246424,0.0357460553,10.8945219841,0.0594282424228,0.00548153824893,0.0,0.0451537954563,0.174661811707,1.97048301356,0.159045175591,0.0969410495477,0.0,413.3042053045824,414.1371382271282,414.9709224869511,415.2532498883084
0.9600000000000005,0.0187590897203,0.0475427334534,11.0165880591,0.069074322196,0.0119490052443,0.0,0.0397539749499,0.219563822662,2.09808653505,0.164004268603,0.123567902757,0.0,447.77016764269786,449.9406793704999,450.48491760114194,450.90986358337915
1.0200000000000005,0.0208998513024,0.0620134888629,11.1430783644,0.0784200078949,0.0197339287204,0.0,0.030916082818,0.26366423354,2.11814012925,0.129225562789,0.13988113457,0.0,415.83236304144606,417.2753363660961,416.50403449558837,413.4751740115569
1.0800000000000005,0.0223252678104,0.0794418747399,11.2726128041,0.0863156514469,0.0278287211216,0.0,0.0157779420749,0.318042925957,2.19943082554,0.135949449717,0.1224614745,0.0,436.1021604871703,434.66179051445664,436.56539105074734,437.1422385247216
1.1400000000000006,0.0225507889037,0.10068992217,11.4115198334,0.0939974800668,0.0350848393356,0.0,-0.00913621533125,0.391150675753,2.43021352812,0.103368801965,0.117696898337,0.0,482.0225445767778,481.67431775729466,483.7293098975056,481.2827091025687
1.2000000000000006,0.0211607933864,0.12635083532,11.5626548828,0.100153178708,0.0428877250104,0.0,-0.0380367771568,0.464868963363,2.6071169949,0.101001936862,0.147384997682,0.0,466.43559727438065,468.76232790439354,467.47160900792346,467.2957174196305
1.2600000000000007,0.0180258602205,0.156175191294,11.7204553932,0.105840752417,0.0519526682194,0.0,-0.0673016446773,0.529811751133,2.65268022017,0.0779629005373,0.157599202713,0.0,427.68971119628475,428.58111063479436,427.7181919114344,425.7593785114803
