i_episode,total_reward,score,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
11,-189.918064726,-2.53224086301,4.499999999999992,-13.4639691786,-20.5328233734,0.0,5.06489082493,5.19152589791,0.0,-4.44894633011,-50.9902782912,-133.350568644,-0.42248779321,-28.6439621007,0.0,899.48564147,99.7408948809,899.705256061,899.982352496
12,-199.163011337,-2.55337194021,4.679999999999988,-14.5194647082,-17.8492657843,0.0,5.68734002951,0.0257391888984,0.0,-4.69111006928,-37.1569721352,-69.0813948921,0.0552006520701,-28.652526823,0.0,899.906286358,100.350656638,900.171035165,900.090037594
13,-217.551539802,-2.58989928336,5.0399999999999805,-15.4706906151,-7.73082547209,0.0,0.155313636174,2.22539514933,0.0,-3.92278142905,-4.66158439114,-42.8179979,-0.341154981655,-28.6565342494,0.0,900.320067614,100.003075081,900.265587271,900.268459219
14,-212.79289394,-2.59503529196,4.919999999999983,-16.7978981971,-5.87843215889,0.0,5.95390325785,5.79056604187,0.0,-5.23342545027,-7.7280531424,-49.2108404944,-0.155259682505,-28.6608320668,0.0,900.134772596,99.9766441917,900.180102656,899.614736674
15,-218.143963054,-2.59695194111,5.0399999999999805,-15.3961730125,-13.8867941843,6.39943408337,1.14316909379,2.28579634218,0.0,-3.00826803681,-12.8244328201,-33.1068675181,0.343458254423,-28.6520717206,0.0,899.971595335,100.257676391,899.782860662,899.953175704
16,-196.563140107,-2.55276805333,4.6199999999999894,-14.283771693,-24.4336604373,0.0,5.4980882346,1.78763306793,0.0,-3.13596407138,-55.6623061111,-91.1674676804,-0.271389071124,-28.6569690672,0.0,900.1179305,99.7529809838,900.031372157,899.37666503
17,-219.52788568,-2.61342721048,5.0399999999999805,-15.8627433774,-14.7613353642,14.3435336161,1.51644040931,2.27650021416,0.0,-2.72840048257,-11.2201941859,-25.2202932077,0.280448460693,-28.6440219865,0.0,899.471362246,99.9450621777,899.821567973,899.852721103
18,-166.413708754,-2.48378669783,4.020000000000002,-11.9943012709,-8.573009875,0.0,4.51743135919,0.113654303891,0.0,-4.08431553201,3.10247101515,-173.339958467,-0.530785341368,-28.6423237467,0.0,899.573127902,99.9720490935,899.572149261,899.485676541
19,-219.485231545,-2.61291942316,5.0399999999999805,-16.5976125016,-7.26571096731,0.0,0.479570178643,2.27182478635,0.0,-4.12693113104,-5.59479014107,-42.9084234435,0.160059423586,-28.6564547252,0.0,900.317283383,99.6624768808,899.390581917,900.235519026
20,-220.454978013,-2.62446402397,5.0399999999999805,-16.9904861964,-10.9466938471,2.4238719812,1.20109356764,2.34943772356,0.0,-3.42768521687,-12.1878658103,-34.3924026237,0.607953007064,-28.6586281313,0.0,900.291134864,100.628537615,899.520265047,900.220414131
21,-213.262151493,-2.56942351196,4.979999999999982,-15.7628389539,-1.91399658369,0.0,0.0735072943748,4.01092946574,0.0,-5.04170631714,-1.1061231926,-46.75573913,0.112766805677,-28.6437846457,0.0,899.575808635,100.690087524,900.23437245,899.509625827
22,-214.207906419,-2.58081814963,4.979999999999982,-16.1717853545,-4.11128003372,0.0,0.428140421034,4.0439827361,0.0,-4.91160645355,-4.95752414402,-44.9022525411,0.137083233386,-28.6508539459,0.0,899.81428128,100.037699634,899.830038089,900.103736758
23,-215.085965232,-2.59139717147,4.979999999999982,-16.7505076444,-1.97871419632,0.0,0.31704399891,4.06234252529,0.0,-5.25320277455,-2.22760276288,-46.2206124357,0.263560634928,-28.6533898201,0.0,899.906651043,99.9611981398,900.378112491,900.439149104
24,-214.921578035,-2.58941660283,4.979999999999982,-16.7164357567,-0.14655513147,0.0,0.0403798006072,4.08669128046,0.0,-5.41242476874,-0.177404618193,-46.765555162,-0.0214900533468,-28.6502920135,0.0,899.820538978,99.8164587597,899.788842276,899.890699009
